OH/Si,SHAP value
0.049999999999999996,-0.00035198041123657843
0.049999999999999996,-0.0004887864446126393
0.050000000000000024,-0.00033711538304667747
0.05333333333333334,-0.00045173165583470987
0.055999999999999994,-0.00026097162320321026
0.055999999999999994,-0.00022034500180539312
0.05600000000000001,-0.00042110950956573
0.05600000000000001,-0.00042445720277786236
0.06,-0.0003253639546104884
0.060000000000000005,-0.0003499461016982248
0.060000000000000005,-0.00037189206421811154
0.060000000000000005,-0.0002981340887640752
0.060000000000000005,-0.00033547134484862226
0.06000000000000001,-0.0002656025060188471
0.06002400960384156,-0.00041878891007335377
0.060606060606060566,-0.0004862918907075218
0.06399999999999996,-7.182346152851616e-05
0.06399999999999999,-0.00025355359021285207
0.064,-0.00023632195343646195
0.064,-0.0004529132801125187
0.064,-0.0004396502131736432
0.064,-0.0001077130684270904
0.06400000000000002,-0.00034296610836753044
0.06400000000000002,-0.000556407336668927
0.06400000000000002,-0.001805321584248923
0.06400000000000002,-0.00032515966702133757
0.06400000000000002,-0.000175825427963353
0.06639999999999999,-8.974929024743753e-05
0.06640000000000003,-0.00011089544295841066
0.06640000000000003,-0.00013589953122081816
0.06666666666666664,-0.0003497670405754436
0.06999999999999998,-0.00043096471266883756
0.06999999999999999,-0.00038371459553594603
0.06999999999999999,-6.580908453213508e-05
0.06999999999999999,-0.0005655468729920173
0.07,-0.0004052648687008109
0.07000000000000003,-0.000728313920730114
0.072,-0.0002668765141940464
0.072,-0.0003051261590317334
0.072,-0.00033636947345023604
0.072,-0.00030565875062829454
0.072,-0.00018386614547237837
0.072,-0.00016724374131176932
0.07200000000000001,-0.00015713699423026785
0.07200000000000002,-0.003034987973811995
0.07207207207207207,-0.0005423597581541182
0.07499999999999998,-0.00030739713972756697
0.07499999999999998,-0.00030739713972756697
0.07499999999999998,-0.00020994130355677653
0.07499999999999998,-0.0003479022204844919
0.075,-0.00011454847248581371
0.07999999999999999,-0.001311882121368549
0.07999999999999999,-0.0007322680678250093
0.07999999999999999,-0.0011377572650018897
0.08,-0.002781073989219879
0.08,-0.0007916597931593515
0.08,-0.0008237435984763819
0.08,-0.00027139666085816634
0.08,-0.0002613173081357674
0.08,-0.00038729587958332145
0.08,-0.00029906592441706996
0.08,-0.0002781053110081155
0.08,-0.00027691196889530184
0.08,-0.00039339456698383
0.08000000000000002,-0.0008105045985039813
0.08000000000000002,-0.0004147094264387707
0.08000000000000002,-0.00039793808302869527
0.08000000000000002,-0.00041933934913371523
0.08000000000000003,-0.00017468721364381523
0.08499999999999998,-0.00021755311893031983
0.08799999999999998,-0.0002803289107772417
0.088,-0.0002234665954555609
0.088,-0.00034456660670143516
0.088,-0.0003001197134043433
0.088,-0.000215322322838452
0.088,-0.00024821646380267866
0.088,-0.0002984340358300751
0.088,-0.0002765923891994573
0.088,-0.00012852412280711122
0.088,-0.0005014675977108804
0.088,-0.0011421026945521015
0.08800000000000001,-0.00023875179763762887
0.08800000000000001,-9.553393334000781e-05
0.08800000000000001,-0.0002422638601068413
0.08800000000000001,-0.000788740307667414
0.08800000000000004,-0.0001500753499344152
0.08800000000000004,-0.0003537672491740003
0.08800000000000005,-8.911553311922874e-05
0.08800000000000005,-0.0002863282029859915
0.08800000000000005,-0.0007744570975249756
0.08800000000000005,-0.0008876904538390481
0.08800000000000005,-0.0003537672491740003
0.0888,-0.0004063488873929387
0.09,-0.0001551113399621853
0.09000000000000005,-0.00041464267322744553
0.09299999999999997,-0.00020221999682939153
0.09333333333333334,-0.0007313281794471305
0.09333333333333334,-0.00028081852276915116
0.09333333333333334,-0.0005161319231811657
0.09599999999999999,-0.0030785747616391586
0.096,-0.0003725997162889388
0.096,-0.0003046908045753873
0.096,-0.0004385355521929964
0.096,-0.00027739245897156605
0.096,-0.0004286740662251087
0.096,-0.00019880770296682522
0.09600000000000004,-0.0024712068011319044
0.09600000000000004,-0.002310736747902742
0.09600000000000004,-0.0029453117223655705
0.09999999999999995,-0.0006556942441756189
0.09999999999999996,-0.002535010035153964
0.09999999999999998,-0.0006539909395929666
0.09999999999999999,-0.0006539909395929666
0.09999999999999999,-0.000426438823822473
0.09999999999999999,-0.00020906484569321534
0.09999999999999999,-0.0003040613441531426
0.09999999999999999,-0.0017775176107116437
