Cs/Si,SHAP value
0.0,-0.0006637351844583077
0.0,-0.0005048656202916748
0.0,-0.00038362131568763104
0.0,-0.0006997161072163841
0.0,-0.0005398965652436047
0.0,-0.0006568236757149697
0.0,-0.00196187239156105
0.0,-0.001288000188733106
0.0,-0.0007219900776455602
0.0,-0.0022481555853477364
0.0,-0.0006685026979317131
0.0,-0.0006356330462804284
0.0,-0.002164231068224017
0.0,-0.0005573504226708965
0.0,-0.0006494100144548957
0.0,-0.0006043628594003748
0.0,-0.0006460219213706453
0.0,-0.0011098820002071947
0.0,-0.0006446234871281045
0.0,-0.0005571817708481528
0.0,-0.0011159417152270706
0.0,-0.0005194368147325258
0.0,-0.0005924050237105215
0.0,-0.0004870197338782375
0.0,-0.017863656957156693
0.0,-0.0005949338044637345
0.0,-0.0013048967930826083
0.0,-0.0008767074668784846
0.0,-0.0024701123097992032
0.0,-0.0007521040946486459
0.0,-0.0005544117834685224
0.0,-0.0005672197224847983
0.0,-0.0005570346799178039
0.0,-0.0030918641811597362
0.0,-0.0006433818654478725
0.0,-0.0008209540420128785
0.0,-0.0008980082015208614
0.0,-0.0004824886463208845
0.0,-0.0007831939091410455
0.0,-0.0006178391939479558
0.0,-0.0007680504635229228
0.0,-0.0007980533243921422
0.0,-0.0013645909235576823
0.0,-0.0005684276490159406
0.0,-0.0005439140982343597
0.0,-0.0011344601649040807
0.0,-0.0013111445262041675
0.0,-0.0006026740460390974
0.0,-0.0004674528008192522
0.0,-0.002639265206918349
0.0,-0.0005812497573156254
0.0,-0.00042951951574148403
0.0,-0.0004698751043279118
0.0,-0.0006196539965158635
0.0,-0.0006598860605051952
0.0,-0.0006584748384014636
0.0,-0.0005691394784563138
0.0,-0.0007038226861460006
0.0,-0.000693001692004961
0.0,-0.0009905651658767378
0.0,-0.0005354571058614862
0.0,-0.0008815822589696721
0.0,-0.0009355640619779503
0.0,-0.0005952668730375468
0.0,-0.0005546057876219098
0.0,-0.0005470326778805922
0.0,-0.0009421181187860203
0.0,-0.012228547387345875
0.0,-0.0007628995851491787
0.0,-0.0007480769031577987
0.0,-0.0013699286052395248
0.0,-0.0006480235519874662
0.0,-0.0010521212513894009
0.0,-0.0005311877245052337
0.0,-0.0005931343964724525
0.0,-0.0011654490425552
0.0,-0.000571993262233746
0.0,-0.0029788211447131013
0.0,-0.0010603581583888643
0.0,-0.0010442050778056804
0.0,-0.0026212641620890487
0.0,-0.0019754151180235175
0.0,-0.0007704002746321611
0.0,-0.0006361982493109539
0.0,-0.009938107400878632
0.0,-0.0006017834048471965
0.0,-0.0004981556515329472
0.0,-0.0021573444543027146
0.0,-0.0008142380259815146
0.0,-0.0006802767455649707
0.0,-0.0015476737020093333
0.0,-0.0032262857864110246
0.0,-0.0006617342805861042
0.0,-0.0006200036632019164
0.0,-0.0005276520812159625
0.0,-0.001429932768653292
0.0,-0.00043170663475397753
0.0,-0.0005947752775333638
0.0,-0.006381790232090432
0.0,-0.0006477789779538126
0.0,-0.0008840233590206863
0.0,-0.0026058700111807674
0.0,-0.0005058008651759625
0.0,-0.0006539688485418334
0.0,-0.0006453337387647156
0.0,-0.0005834732159168734
0.0,-0.0005623298536861716
0.0,-0.000982800467883911
0.0,-0.001072904040966205
0.0,-0.0004945883818783442
0.0,-0.0010073620406024105
0.0,-0.0007583281693275771
0.0,-0.0005333111100385855
0.0,-0.0005713380117611451
0.0,-0.0016207079537388096
0.0,-0.0005440990450661416
0.0,-0.0009695010190005432
0.0,-0.0007665001253252542
0.0,-0.0005590301440034232
0.0,-0.0010972870566048109
0.0,-0.004917312139983616
0.0,-0.0006316218745918246
0.0,-0.000571993262233746
0.0,-0.0008446039274037244
0.0,-0.0004481107857789863
0.0,-0.0006627571216618187
0.0,-0.0004776853138901936
0.0,-0.0007530234876756643
0.0,-0.0005432620044947763
0.0,-0.0005998760414894336
0.0,-0.0009418099940418339
0.0,-0.0004405871161929174
0.0,-0.0014727738098824952
0.0,-0.0008060655196294261
0.0,-0.0015681326240899005
0.0,-0.0005019704883275654
0.0,-0.0008886889665813929
0.0,-0.002623706834908819
0.0,-0.0007527307780365301
0.0,-0.000906173366555546
0.0,-0.0004612330042550499
0.0,-0.0009539478425720226
0.0,-0.0011093557784909226
0.0,-0.0007637237825176585
0.0,-0.000778499273360937
0.0,-0.0006632348192909036
0.0,-0.0012297200244875306
0.0,-0.0006947315896306762
0.0,-0.00101521064312137
0.0,-0.004179757715350418
0.0,-0.0006609558162451544
0.0,-0.0006113262805696184
0.0,-0.00043573451608780965
0.0,-0.0006411699849881241
0.0,-0.0005546151000927548
0.0,-0.0006552377356800312
0.0,-0.0008164811686505962
0.0,-0.0005555442444701249
0.0,-0.0003702041147923912
0.0,-0.001861930765583335
0.0,-0.013256848912341733
0.0,-0.0004211988920343497
0.0,-0.0005816855400728742
0.0,-0.0006200469933462583
0.0,-0.0008203030293900424
0.0,-0.0005411490815254952
0.0,-0.0006857320109938603
0.0,-0.0006035098185746313
0.0,-0.0008529109347347844
0.0,-0.0006399661184593322
0.0,-0.000663533608033746
0.0,-0.0007237332603114886
0.0,-0.0013235378270120648
0.0,-0.0007094884433978189
0.0,-0.00048580126620180567
0.0,-0.0007277251038688515
0.0,-0.0008122401097163212
0.0,-0.000979829057804244
0.0,-0.0005624527154487927
0.0,-0.0008519484844020999
0.0,-0.0029489417893128382
0.0,-0.000766433746812394
0.0,-0.0006596988636667878
0.0,-0.0009787266649365456
0.0,-0.0006215527223080369
0.0,-0.002579145313024788
0.0,-0.0005715377785006612
0.0,-0.0006697309060636462
0.0,-0.00149001636229551
0.0,-0.0006193349118836389
0.0,-0.0013890815056354464
0.0,-0.0007559866644526853
0.0,-0.0004924199598783358
0.0,-0.000977253760472426
0.0,-0.0012104675217349428
0.0,-0.0006863324851544667
0.0,-0.0025676413603239103
0.0,-0.0009510585348572756
0.0,-0.00109871269891771
0.0,-0.0008644037572197538
0.0,-0.001118765161364858
0.0,-0.0014410606970182308
0.0,-0.0006092621768088495
0.0,-0.00055052339568077
0.0,-0.0008259979613407938
0.0,-0.0006339229118688689
0.0,-0.0006093773635740236
0.0,-0.0005521554616324346
0.0,-0.0005965661432483071
0.0,-0.0005551816955521561
0.0,-0.0004351340384175859
