K/Si,SHAP value
0.0,-0.00076981878413845
0.0,-0.000512510789310583
0.0,-0.0007939600664120182
0.0,-0.0007475036267567979
0.0,-0.000819810478227071
0.0,-0.000863859460551788
0.0,-0.0005472591722966039
0.0,-0.0008829541721817868
0.0,-0.0008444237255632374
0.0,-0.0007642158568396375
0.0,-0.001367637634824535
0.0,-0.004131262437391358
0.0,-0.0006153546552194602
0.0,-0.0007961832528888967
0.0,-0.0006157776998691004
0.0,-0.0006892875382684678
0.0,-0.0010947441169741735
0.0,-0.0005820043690765871
0.0,-0.0009012127083396185
0.0,-0.0008201496350721846
0.0,-0.0008681049672896681
0.0,-0.0008744167682853898
0.0,-0.000634839719300501
0.0,-0.0007501323320939949
0.0,-0.00095388333963588
0.0,-0.0008746446774485616
0.0,-0.0012891165613651912
0.0,-0.0005545027056440519
0.0,-0.000706239044271274
0.0,-0.0010897220279104012
0.0,-0.0006674339710535296
0.0,-0.0005700577016149337
0.0,-0.0006185862319751196
0.0,-0.0012221634043626329
0.0,-0.0008201646193297195
0.0,-0.0010687988030802867
0.0,-0.0005140001458192764
0.0,-0.0005504954856127725
0.0,-0.00043849699876112125
0.0,-0.0005998226002222337
0.0,-0.0033457956560590317
0.0,-0.0007504946598515313
0.0,-0.0006688955414652953
0.0,-0.0009122062253979963
0.0,-0.0022627979397570686
0.0,-0.0008297004338040987
0.0,-0.001055339710223408
0.0,-0.0007837307145574855
0.0,-0.000947500747932305
0.0,-0.00046528380001005775
0.0,-0.00047420567317387624
0.0,-0.0008405441430519631
0.0,-0.0008194599088338212
0.0,-0.0007755221241442222
0.0,-0.0008952559972749658
0.0,-0.001404294752819899
0.0,-0.0010852314076586166
0.0,-0.0005722716321854254
0.0,-0.0009868702472902791
0.0,-0.0009490233114339874
0.0,-0.0014652548654497644
0.0,-0.0010474448576874209
0.0,-0.0007497134688796907
0.0,-0.0006394109146599967
0.0,-0.0006874023576123729
0.0,-0.0006836594672508878
0.0,-0.0011438604523241662
0.0,-0.0010479806715982525
0.0,-0.0007069551869596764
0.0,-0.0005702067055371405
0.0,-0.0006617435039735696
0.0,-0.0012071476832195168
0.0,-0.0012376813579630212
0.0,-0.006523036444453805
0.0,-0.0007398823163365776
0.0,-0.0005882722669667199
0.0,-0.0022163177746357056
0.0,-0.0007789848280120032
0.0,-0.0006204395692523806
0.0,-0.0008739108904255735
0.0,-0.0008490964658600625
0.0,-0.0007447909887527977
0.0,-0.0008215773295374776
0.0,-0.0007969685892678871
0.0,-0.00046428967113731445
0.0,-0.0007300519232562032
0.0,-0.0057453133052747475
0.0,-0.0007204085295898753
0.0,-0.0009785035687236091
0.0,-0.0007858590607399098
0.0,-0.0006869146898965272
0.0,-0.0007863152856356152
0.0,-0.0005722521115360052
0.0,-0.0007371521764249622
0.0,-0.0007107413937656402
0.0,-0.0047290058997094715
0.0,-0.000933137238661048
0.0,-0.0009664035640172258
0.0,-0.0006874989401602677
0.0,-0.0005809031656371667
0.0,-0.0013085006473523887
0.0,-0.0008373620693124156
0.0,-0.009870032646190971
0.0,-0.0006946367241891066
0.0,-0.00048766768600253706
0.0,-0.001252434872019027
0.0,-0.0005936743129395732
0.0,-0.0007254154713172921
0.0,-0.0004383379460937648
0.0,-0.000996316638579924
0.0,-0.0005951947264965454
0.0,-0.0007789712609447671
0.0,-0.0010857476933828012
0.0,-0.0005865875289093524
0.0,-0.0010040332788373177
0.0,-0.0006363920169725682
0.0,-0.0008427097362827545
0.0,-0.0006812044255192944
0.0,-0.0008847620867840623
0.0,-0.0005620650605171114
0.0,-0.0011806911122329345
0.0,-0.0007260631509683938
0.0,-0.0004751802808114144
0.0,-0.001012156750769802
0.0,-0.0006473073253982492
0.0,-0.0004075750923053454
0.0,-0.0008852622558394921
0.0,-0.0007541804245085368
0.0,-0.0007161065873741781
0.0,-0.0006150851412143271
0.0,-0.0007797959986952403
0.0,-0.0006018180863531893
0.0,-0.000653522770923627
0.0,-0.0005654537726546759
0.0,-0.0012198109430602553
0.0,-0.001516656849399935
0.0,-0.00066883098476955
0.0,-0.00043179869889241763
0.0,-0.001015520732174422
0.0,-0.0006667400511413886
0.0,-0.0009770526021697353
0.0,-0.0014716385834513488
0.0,-0.0006154884110814357
0.0,-0.0007482479041169179
0.0,-0.0010115798881088012
0.0,-0.0007020428052132308
0.0,-0.0006120724872899473
0.0,-0.00046018485744454075
0.0,-0.004326985023379851
0.0,-0.001221656918229914
0.0,-0.0028178319891994743
0.0,-0.0011762183083484532
0.0,-0.0012029823974849256
0.0,-0.0013471575675713797
0.0,-0.0006485153891640352
0.0,-0.000728610405180726
0.0,-0.0010290413099549778
0.0,-0.000681402992295693
0.0,-0.0006909479099039115
0.0,-0.0010879673153683103
0.0,-0.0007192933983901017
0.0,-0.0004819031952373526
0.0,-0.0007151933103264799
0.0,-0.0015300345168412337
0.0,-0.003015248276143781
0.0,-0.000834596122189232
0.0,-0.0012025419113017581
0.0,-0.0005556719376629531
0.0,-0.0006766817309977718
0.0,-0.000697109460424729
0.0,-0.0004884998561551777
0.0,-0.00048004438458399106
0.0,-0.0012810938441854987
0.0,-0.0008864451299762436
0.0,-0.0006518538318497989
0.0,-0.001356848072888212
0.0,-0.000730814355419248
0.0,-0.0006946367241891067
0.0,-0.0076216614542585215
0.0,-0.0007899116139396772
0.0,-0.005308785005213304
0.0,-0.0004485345636855925
0.0,-0.0006019615714294989
0.0,-0.0011222076759229498
0.0,-0.0007990173144048979
0.0,-0.0006851583471777312
