Na/Si,SHAP value
0.0,-0.0007659098505112094
0.0,-0.00044968510714369237
0.0,-9.392778873167372e-05
0.0,-6.922953726935834e-05
0.0,-0.00013054474515760897
0.0,-0.00010209983835145855
0.0,-0.0002791824317898811
0.0,-0.00030215265586301367
0.0,-0.0004094951355193035
0.0,-0.0004325981317858856
0.0,-0.00037292553291335415
0.0,-0.0002924839147875184
0.0,-0.0003169577683864902
0.0,-0.00020755663292803758
0.0,-0.0007389174950880324
0.0,-0.0003029545821567325
0.0,-0.00014875047715280214
0.0,0.00014228858816797655
0.0,-0.0004824600552484924
0.0,-0.0001308614563982512
0.0,-0.00013120504801703622
0.0,-0.00020441296906388286
0.0,-0.0005746235017431396
0.0,-0.0009879983584503084
0.0,-0.00013160098921171094
0.0,5.548401055575667e-05
0.0,-0.0003704309357092568
0.0,-0.00030568833317347387
0.0,-0.0005976054627466397
0.0,-0.00023179638544019722
0.0,-0.000908038371958637
0.0,-0.0002343561230431752
0.0,-0.0003129331776802592
0.0,-0.00022569685919319405
0.0,-0.00023643883645832565
0.0,-9.741440272834651e-05
0.0,-0.0006315514429240781
0.0,-0.0009211235107078579
0.0,-0.0007914186723833304
0.0,-2.77976863031553e-05
0.0,-0.0001100853535834003
0.0,-0.00030056816204743816
0.0,-0.00036512383153080425
0.0,-0.00028157640787945375
0.0,-0.00023527159975279507
0.0,-0.0005028969569419771
0.0,-0.0001643593034956941
0.0,-0.0003443329086719841
0.0,1.55872706282173e-05
0.0,-0.0005164592667860395
0.0,-0.000248289990084787
0.0,-0.00014640221841234763
0.0,-0.0005721245457840691
0.0,-0.0001838862437089818
0.0,-0.00015875094760851874
0.0,-0.0002619395995830913
0.0,-0.00018115209516160043
0.0,-0.0003086530292565882
0.0,-0.0008311048360376304
0.0,-0.0006505101307380089
0.0,-0.00041075957193017354
0.0,-0.00046465217725964297
0.0,-6.43170909056046e-05
0.0,0.00017448529183375542
0.0,0.0003400203377454727
0.0,-9.981427629835201e-05
0.0,-0.0004069831028490308
0.0,-0.0002284346724837897
0.0,-0.0003130128922551993
0.0,-0.000637147519335542
0.0,-0.00025572008766888926
0.0,-0.00013600001597006723
0.0,-0.0010471015692045894
0.0,-0.0004423658015664098
0.0,-0.00010144413103370666
0.0,-0.00035389344612125195
0.0,-0.0004894572789335415
0.0,-0.00010501718066115711
0.0,-0.0006385238913018759
0.0,-0.0007433443790332052
0.0,-0.00033305983158229193
0.0,-0.0004577020884077799
0.0,-0.0007374872634776301
0.0,-5.3491328475024705e-06
0.0,-2.8854491702169132e-05
0.0,-0.000220898682568337
0.0,-0.00028413770643599147
0.0,-0.00016478406673974656
0.0,-0.0003885069256364323
0.0,-0.0003974079958660732
0.0,-0.00011528224481206424
0.0,-0.00027358415274013787
0.0,-0.0005136652021750685
0.0,-0.0006343518659961608
0.0,5.368805435844682e-05
0.0,-1.2010986245672908e-05
0.0,-0.00015925327827928044
0.0,-0.00023327703858599933
0.0,-0.022463411668624245
0.0,-0.0004021400794516142
0.0,0.00015720894603490603
0.0,-0.00023761720003514643
0.0,-0.00029590488578465476
0.0,-0.00042386157541904785
0.0,-0.0005066136132267397
0.0,-0.00022003532454239078
0.0,-0.0008944096523888669
0.0,-8.645790290953254e-05
0.0,-0.0006315514429240781
0.0,-0.000436542810819775
0.0,-0.0003072376658371608
0.0,-0.000515158218757442
0.0,-0.0002429000521444291
0.0,-0.0002580047662579433
0.0,-0.0001348123957379209
0.0,-0.0008426756565643283
0.0,0.0001575714317708625
0.0,-0.0006574622740586443
0.0,-9.075550489350618e-05
0.0,-0.0007694201270807397
0.0,-0.0001468620126065489
0.0,-0.0064213033726041625
0.0,-0.00012878211754963143
0.0,-0.000695628845132743
0.0,-0.0002583347117958668
0.0,-0.00041425954383319207
0.0,-0.00018430144260205743
