Na/Si,SHAP value
0.0,-0.000703177124313946
0.0,0.005077750814343302
0.0,-0.0003513709115772616
0.0,-0.0003537284286438308
0.0,-0.0010631360939143074
0.0,-0.0012395043101930544
0.0,-0.00036073940105193635
0.0,-0.009511338630523454
0.0,-0.0005555651434506126
0.0,0.0031110104646590235
0.0,-0.03182460903801799
0.0,0.0036694955957044407
0.0,-0.014370870172502508
0.0,0.00013767964603306288
0.0,-0.0003589310631847154
0.0,-0.0005039727983703393
0.0,-0.0007675654713151142
0.0,-0.0010074895438976386
0.0,-0.038754660138119575
0.0,-0.04844231103677113
0.0,-0.000200437516185347
0.0,0.0010923307241807215
0.0,-0.0006064926716127973
0.0,-0.00077638463157972
0.0,-0.0001244160073964327
0.0,-0.004207126383888831
0.0,-0.0007130379845138502
0.0,-5.512309684380662e-05
0.0,-0.00017986215517118003
0.0,-0.0008968047439532883
0.0,-0.0005409575336914465
0.0,-0.0206081215447325
0.0,-0.0009167803265850955
0.0,-0.0012425437516867745
0.0,-0.0007059318193770367
0.0,-0.004899283033351747
0.0,0.00016781124120105966
0.0,-0.0011193523149604697
0.0,-0.0007559815986796141
0.0,-0.000919427389338723
0.0,-0.00046860501063675025
0.0,-0.0003517611483699632
0.0,-0.00018276077420715267
0.0,-0.0009954952930772477
0.0,-0.0003809931473107608
0.0,-0.0002904686411678879
0.0,-0.001116444450470542
0.0,-0.0001589550291565077
0.0,-0.0010472980187051755
0.0,-0.0009957417874860606
0.0,-0.0006667661470359913
0.0,-0.0010269089718722318
0.0,-0.000856758669912005
0.0,-0.0005554646392261984
0.0,-0.0008649084414814506
0.0,-0.0007698789455234256
0.0,-0.0003216029625221016
0.0,-0.0008738593658631715
0.0,-0.0007490126253759644
0.0,-0.0016089627441852087
0.0,-0.0006324530472425516
0.0,-0.0002830506785007726
0.0,-0.0006970711275431419
0.0,-0.021930381804642195
0.0,-0.0004906407728465675
0.0,-0.00027454390462645266
0.0,-0.0007266761182331182
0.0,-0.000573872891552873
0.0,-0.0008082198636740696
0.0,-0.0005551118854116041
0.0,-0.0012068881342446381
0.0,-0.00017395658249796646
0.0,-0.000755061451868224
0.0,-0.001171521441623281
0.0,-0.0007433221988315212
0.0,0.0012771397472628326
